Job Title,Company Name,Location,Required Skills,Post Date and Time,More Info
Media Engagement Specialist,Internews,Kathmandu,"Interpersonal, Communication, Organizational, Time, Management","April 14, 2021, 11:55 p.m.",https://merojob.com/media-engagement-specialist/
Student Service Officer,International School of Management and Technology (ISMT),"Pokhara, Nepal","Interpersonal, Counselling, School, Administration","April 8, 2021, 11:55 p.m.",https://merojob.com/student-service-officer-3/
Database Management System & Da…,International School of Management and Technology (ISMT),"Kathmandu, Nepal","Data, Structure, And, Algorithm, App, Development, Sql, C/C++, Database, Management","April 8, 2021, 11:55 p.m.",https://merojob.com/database-management-system-data-structure-and-algorithm/
Project Management Officer,SeeLogic International,Kathmandu,"Interpersonal, Communication, Time, Management","April 5, 2021, 11:55 p.m.",https://merojob.com/project-management-officer-4/
Sales Support Executive,SeeLogic International,Kathmandu,"Interpersonal, Communication, Time, Management","April 5, 2021, 11:55 p.m.",https://merojob.com/sales-support-executive-6/
Sales Executive,SeeLogic International,Kathmandu,"Interpersonal, Communication, Time, Management","April 5, 2021, 11:55 p.m.",https://merojob.com/sales-executive-624/
"Project Assistant, Junior Busin…",SeeLogic International,Kathmandu,"Interpersonal, Communication, Time, Management, Microsoft, Office, Suite","April 5, 2021, 11:55 p.m.",https://merojob.com/project-assistant-junior-business-analyst/
Area Sales Manager,Prime International,"Kathmandu, Chitwan (NarayanGhat) , Koshi, Mechi","Customer, Relationship, Management, Communication, Multitasking, Teamwork, Time, Management, Sales","March 31, 2021, 11:55 p.m.",https://merojob.com/area-sales-manager-210/
Corporate Finance Manager/ Inte…,NULL,Kathmandu,"Presentation, Communication, Documentation","April 6, 2021, 11:55 p.m.",https://merojob.com/asst-legal-officerlegal-officer/
Medical Call Center Representat…,International Communication Company,Kathmandu Nepal,"Communication, Microsoft, Office, Suite, Interpersonal","April 10, 2021, 11 p.m.",https://merojob.com/medical-call-center-representative/
Program Documentation Specialist,Helen Keller International,"Kathmandu, Nepal","Interpersonal, Communication, Time, Management","April 2, 2021, 11:55 p.m.",https://merojob.com/program-documentation-specialist-2/
Communication Intern,Progress Inc.,"Kathmandu, Nepal","Interpersonal, Communication, Teamwork","April 9, 2021, 5 p.m.",https://merojob.com/communication-intern-3/
Community Development and Outre…,Progress Inc.,"Kathmandu, Nepal","Interpersonal, Management, Communication, Teamwork","April 9, 2021, 5 p.m.",https://merojob.com/community-development-and-outreach-intern/
Country Director,Population Services International/Nepal,Kathmandu,NULL,"April 7, 2021, 11:55 p.m.",https://merojob.com/country-director-26/
HR Officer,Population Services International/Nepal,Kathmandu,NULL,"April 7, 2021, 11:55 p.m.",https://merojob.com/hr-officer-203/
Regional Behaviour Change Commu…,Population Services International/Nepal,Based in Eastern Regional Hub,NULL,"March 30, 2021, 11:55 p.m.",https://merojob.com/regional-behaviour-change-communication-officer/
Senior Monitoring & Evaluation …,Population Services International/Nepal,Based in Eastern Regional Hub,NULL,"March 30, 2021, 11:55 p.m.",https://merojob.com/senior-monitoring-evaluation-me-officer/
International Executive Chef,Executive Search- merojob,Kathmandu,NULL,"April 1, 2021, 12:55 a.m.",https://merojob.com/international-executive-chef-3/
Sales Support Specialist,HLE Nepal,"Jawalakhel, Lalitpur, Nepal","Interpersonal, Attention, To, Detail, Time, Management, Customer, Service, Verbal, Communication","April 11, 2021, 11:55 p.m.",https://merojob.com/sales-support-3/
SEO Intern,Hansikar Technologies,"Shantinagar, Kathmandu","Marketing, Html, Css, Management, Wordpress","April 6, 2021, 11:55 p.m.",https://merojob.com/seo-intern-2/
Manager - Audit & Consulting Fi…,Bajgai & Associates,Kathmandu,"Interpersonal, Communication, Time, Management, Taxation, Accounting","April 7, 2021, 11:55 p.m.",https://merojob.com/ca-audit-and-compliance-manager/
Network Administrator / Engineer,International Organization,kathmandu,"Technical, Support, Network, Cabling, Software, /, Hardware, Repair, Software, Installation, Computer, Repair","April 4, 2021, 11:55 p.m.",https://merojob.com/network-administrator-26/
Accountant,NULL,Lalitpur,NULL,"March 31, 2021, noon",https://merojob.com/accountant-2078/
